No,vuf,V_A,V_B,V_C,I_A,I_B,I_C,V_a,V_b,V_c,I_a,I_b,I_c,phase_B,phase_C,phase_a,phase_b,phase_c,faulted
72,0.00688642250422692,133490,132320,132937,0,19.2,2.2,13874,13712,13816,10,174.9,172.5,119.7,-120.67,-0.01,119.89,-120.64,1
73,0.0143832510467985,133600,131422,131760,18,36,18.1,13905,13589,13636,8.4,510.2,509.9,120.38,-120.63,0.22,120.76,-120.66,0
73,2.87504436261404e-05,133126,133122,133123,0.7,0.8,0.7,13835,13834,13834,0,0.6,0.6,120,-120,0,120,-120,0
74,0.000404592216275024,133033,133091,133131,0,1.3,1.2,13827,13829,13836,0,0.6,0.6,119.96,-120.03,-0.01,119.95,-120.02,1
74,0.0207604169692429,134589,130875,132539,0,53.6,2.1,13989,13495,13774,8.5,506.6,506.4,119.3,-121.87,-0.01,119.87,-121.85,1
75,0.0145688486188127,133606,131400,131744,18.2,36.5,18.3,13905,13586,13634,8.4,516.7,516.3,120.39,-120.64,0.22,120.77,-120.67,0
75,2.92983304605287e-05,133126,133122,133122,0.7,0.8,0.7,13835,13834,13834,0,0.6,0.6,120,-120,0,120,-120,0
76,0.000404455029089104,133034,133091,133131,0,1.3,1.2,13827,13829,13836,0,0.6,0.6,119.96,-120.03,-0.01,119.95,-120.02,1
76,0.0210311516775102,134609,130846,132532,0,54.3,2.1,13991,13491,13773,8.6,513.1,512.7,119.3,-121.89,-0.01,119.87,-121.87,1
77,0.0266790368302528,133981,129966,130625,32.6,65.4,32.9,13961,13381,13471,10.5,933.5,935.6,120.7,-121.18,0.4,121.41,-121.25,0
77,4.16011831070406e-05,133126,133121,133121,0.7,0.8,0.7,13835,13834,13834,0,1,1,120,-120,0,120,-120,0
78,0.000401740055980975,133035,133089,133131,0,1.3,1.2,13827,13829,13836,0,1,1,119.96,-120.03,-0.01,119.95,-120.02,1
78,0.0382044259508198,135845,128993,132043,0,96.8,2.4,14119,13215,13722,10.7,921.9,924,118.79,-123.38,-0.01,119.84,-123.35,1
79,0.0254479081720896,133946,130115,130738,31.1,62.5,31.4,13956,13402,13488,9.8,891,892.9,120.67,-121.13,0.38,121.34,-121.19,0
79,3.6884073346546e-05,133126,133121,133122,0.7,0.8,0.7,13835,13834,13834,0,0.9,0.9,120,-120,0,120,-120,0
80,0.000402620898333139,133034,133090,133131,0,1.3,1.2,13827,13829,13836,0,0.9,0.9,119.96,-120.03,-0.01,119.95,-120.02,1
80,0.0364671358464032,135730,129186,132092,0,92.5,2.3,14107,13243,13727,10.1,880.4,882.4,118.84,-123.23,-0.01,119.84,-123.2,1
81,0.000181116004564149,133100,133076,133103,1.5,1.5,1.2,13831,13828,13832,9.8,14.7,9.8,119.99,-120.01,0.01,120,-120.01,0
81,1.26369603459982e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0,0,0,120,-120,0,120,-120,0
82,0.000409514096176522,133032,133093,133132,0,1.2,1.2,13827,13829,13836,0,0,0,119.96,-120.03,-0.01,119.95,-120.02,1
82,0.000951365091553951,132947,133010,133131,0,2.7,2.2,13818,13816,13837,9.8,14.7,9.8,119.89,-120.08,-0.01,119.9,-120.06,1
83,0.000194413135350611,133105,133076,133102,1.4,1.5,1.1,13832,13828,13831,8.7,14.4,10.1,119.99,-120.01,0.01,120,-120.01,0
83,1.25886642658501e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0,0,0,120,-120,0,120,-120,0
84,0.000409600483962634,133032,133093,133132,0,1.2,1.2,13827,13829,13836,0,0,0,119.96,-120.03,-0.01,119.95,-120.02,1
84,0.000903043834944907,132962,133013,133130,0,2.7,2.1,13819,13817,13836,8.7,14.4,10.1,119.9,-120.08,-0.01,119.9,-120.06,1
85,0.000911062170395623,133132,132987,133028,2.1,3.4,1.9,13836,13815,13821,9,40.7,37.4,120.02,-120.05,0.02,120.04,-120.04,0
85,1.34720650445831e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0,0,0,120,-120,0,120,-120,0
86,0.000409240190631992,133032,133093,133132,0,1.2,1.2,13827,13829,13836,0,0,0,119.96,-120.03,-0.01,119.95,-120.02,1
86,0.00155334474200766,133050,132897,133097,0,5.3,2.1,13829,13799,13833,9,40.7,37.4,119.86,-120.18,-0.01,119.9,-120.16,1
87,0.000859325567907188,133129,132992,133032,2.1,3.3,1.8,13835,13816,13821,9.2,39,35.8,120.01,-120.04,0.02,120.04,-120.04,0
87,1.35780889774224e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0,0,0,120,-120,0,120,-120,0
88,0.000409191094665656,133032,133093,133132,0,1.2,1.2,13827,13829,13836,0,0,0,119.96,-120.03,-0.01,119.95,-120.02,1
88,0.00149208289742814,133042,132904,133099,0,5.2,2.1,13828,13800,13833,9.2,39,35.8,119.87,-120.17,-0.01,119.9,-120.15,1
89,0.00537189043390664,133288,132463,132607,7.4,14.3,7.1,13859,13739,13759,10.3,198.7,195.3,120.13,-120.24,0.09,120.28,-120.25,0
89,1.8468838028282e-05,133125,133123,133123,0.7,0.7,0.7,13835,13835,13835,0,0.2,0.2,120,-120,0,120,-120,0
90,0.000407691748930989,133032,133093,133132,0,1.3,1.2,13827,13829,13836,0,0.2,0.2,119.96,-120.03,-0.01,119.95,-120.02,1
90,0.00786384795774392,133563,132216,132916,0,21.6,2.2,13882,13696,13814,10.3,198,194.6,119.66,-120.76,-0.01,119.88,-120.73,1
91,0.00498541581188737,133277,132512,132644,6.9,13.4,6.7,13857,13746,13765,9.4,184.2,181.2,120.13,-120.22,0.08,120.26,-120.23,0
91,1.84343444693033e-05,133125,133123,133124,0.7,0.7,0.7,13835,13835,13835,0,0.2,0.2,120,-120,0,120,-120,0
92,0.000407649653813507,133032,133093,133132,0,1.3,1.2,13827,13829,13836,0,0.2,0.2,119.96,-120.03,-0.01,119.95,-120.02,1
92,0.00729071923825615,133527,132281,132931,0,20.1,2.2,13878,13706,13816,9.4,183.7,180.7,119.69,-120.7,-0.01,119.88,-120.68,1
93,0.0274097397365042,134004,129867,130582,33.6,67.1,33.5,13965,13366,13465,9.2,959.4,957.1,120.7,-121.23,0.41,121.43,-121.3,0
93,3.8604712828143e-05,133126,133121,133122,0.7,0.8,0.7,13835,13834,13834,0,0.9,0.9,120,-120,0,120,-120,0
94,0.000402550302997157,133035,133090,133131,0,1.3,1.2,13827,13829,13836,0,0.9,0.9,119.96,-120.03,-0.01,119.95,-120.02,1
94,0.03938963251714,135920,128861,132046,0,99.4,2.2,14127,13195,13723,9.4,947.1,944.9,118.73,-123.49,-0.01,119.81,-123.47,1
95,0.0290254927851614,134051,129673,130437,35.5,70.9,35.4,13972,13339,13444,9.1,1014.4,1012.1,120.74,-121.3,0.44,121.51,-121.38,0
95,4.08717092071515e-05,133126,133121,133121,0.7,0.8,0.7,13835,13834,13834,0,1,1,120,-120,0,120,-120,0
